name,Model_Name,config,hardware_utilization,total_latency,fps,total_dynamic_energy,total_static_power,fps_per_w,area,fps_per_w_per_area,Total_Cache_Reads,Total_Cache_Writes,Total_Cache_Access,Dataflow,Datarate,BatchSize
HEANA_10,MobileNet_V2,"[{'element_size': 31, 'element_count': 31, 'units_count': 356, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'HEANA_10', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10, 'batch_size': 1}]",0.000511702,0.001365802,732.1706561,364.0319244,618206.2316,0.000827555,20663.04573,4.00E-08,1.80818E+11,2923418,1.80821E+11,Input-Stationary,10,1
MAW_1,MobileNet_V2,"[{'element_size': 44, 'element_count': 44, 'units_count': 173, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1, 'batch_size': 1}]",0.000716893,0.049822647,20.07119362,255.4864268,331933.1526,5.95E-05,25408.74542,2.34E-09,1.6383E+11,1887478,1.63832E+11,Input-Stationary,1,1
HEANA_1,MobileNet_V2,"[{'element_size': 83, 'element_count': 83, 'units_count': 50, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'HEANA_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1, 'batch_size': 1}]",0.001292648,0.001983193,504.2373586,138.1358353,86898.08112,0.003220908,25532.85089,1.26E-07,64709575686,435162,64710010848,Weight-Stationary,1,1
AMW_1,MobileNet_V2,"[{'element_size': 31, 'element_count': 31, 'units_count': 197, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1, 'batch_size': 1}]",0.000511702,0.007214067,138.6180638,351.5286186,215689.554,0.000524239,25424.06357,2.06E-08,91693063498,1492314,91694555812,Weight-Stationary,1,1
MAW_1,MobileNet_V2,"[{'element_size': 44, 'element_count': 44, 'units_count': 173, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1, 'batch_size': 1}]",0.000716893,0.049556236,20.17909496,251.7166059,331933.1526,5.99E-05,25408.74542,2.36E-09,83124370912,1016190,83125387102,Weight-Stationary,1,1
AMW_5,MobileNet_V2,"[{'element_size': 16, 'element_count': 16, 'units_count': 734, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 1}]",0.000276547,0.003744935,267.0273458,647.5493063,818448.9092,0.000269354,41986.25814,6.42E-09,95201144832,3034462,95204179294,Weight-Stationary,5,1
AMW_10,MobileNet_V2,"[{'element_size': 12, 'element_count': 12, 'units_count': 1280, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_10', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10, 'batch_size': 1}]",0.000206931,0.002616283,382.221648,875.6170515,1427215.496,0.000216938,22251.06543,9.75E-09,94324942080,4029016,94328971096,Weight-Stationary,10,1
MAW_5,MobileNet_V2,"[{'element_size': 22, 'element_count': 22, 'units_count': 673, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 1}]",0.000368438,0.138023192,7.245159218,492.3255514,1278845.682,5.65E-06,55604.42044,1.02E-10,90741996576,2138348,90744134924,Weight-Stationary,5,1
MAW_10,MobileNet_V2,"[{'element_size': 16, 'element_count': 16, 'units_count': 1241, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_10', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10, 'batch_size': 1}]",0.000276547,0.208051898,4.806493031,660.5818064,2336690.415,2.05E-06,20432.35719,1.01E-10,95201144832,3034462,95204179294,Weight-Stationary,10,1
HEANA_5,MobileNet_V2,"[{'element_size': 42, 'element_count': 42, 'units_count': 190, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'HEANA_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 1}]",0.000692655,0.001037053,964.2710574,258.2728443,320947.9702,0.001691724,54693.23085,3.09E-08,78397847136,1045280,78398892416,Weight-Stationary,5,1
HEANA_10,MobileNet_V2,"[{'element_size': 31, 'element_count': 31, 'units_count': 356, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'HEANA_10', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10, 'batch_size': 1}]",0.000511702,0.00087492,1142.962034,355.4650659,618206.2316,0.001115641,20663.04573,5.40E-08,91693063498,1492314,91694555812,Weight-Stationary,10,1
AMW_1,MobileNet_V2,"[{'element_size': 31, 'element_count': 31, 'units_count': 197, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1, 'batch_size': 1}]",0.000511702,0.007214067,138.6180638,351.5286186,215689.554,0.000524239,25424.06357,2.06E-08,91693063498,1492314,91694555812,Output-Stationary,1,1
AMW_5,MobileNet_V2,"[{'element_size': 16, 'element_count': 16, 'units_count': 734, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 1}]",0.000276547,0.003744935,267.0273458,647.5493063,818448.9092,0.000269354,41986.25814,6.42E-09,95201144832,3034462,95204179294,Output-Stationary,5,1
AMW_10,MobileNet_V2,"[{'element_size': 12, 'element_count': 12, 'units_count': 1280, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_10', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10, 'batch_size': 1}]",0.000206931,0.002616283,382.221648,875.6170515,1427215.496,0.000216938,22251.06543,9.75E-09,94324942080,4029016,94328971096,Output-Stationary,10,1
MAW_1,MobileNet_V2,"[{'element_size': 44, 'element_count': 44, 'units_count': 173, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1, 'batch_size': 1}]",0.000716893,0.049556236,20.17909496,251.7166059,331933.1526,5.99E-05,25408.74542,2.36E-09,83124370912,1016190,83125387102,Output-Stationary,1,1
MAW_5,MobileNet_V2,"[{'element_size': 22, 'element_count': 22, 'units_count': 673, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 1}]",0.000368438,0.138023192,7.245159218,492.3255514,1278845.682,5.65E-06,55604.42044,1.02E-10,90741996576,2138348,90744134924,Output-Stationary,5,1
MAW_10,MobileNet_V2,"[{'element_size': 16, 'element_count': 16, 'units_count': 1241, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_10', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10, 'batch_size': 1}]",0.000276547,0.208051898,4.806493031,660.5818064,2336690.415,2.05E-06,20432.35719,1.01E-10,95201144832,3034462,95204179294,Output-Stationary,10,1
HEANA_1,MobileNet_V2,"[{'element_size': 83, 'element_count': 83, 'units_count': 50, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'HEANA_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10, 'batch_size': 1}]",0.001292648,0.000351832,2842.263203,138.1358353,86898.08112,0.005927352,20769.10739,2.85E-07,64709575686,435162,64710010848,Output-Stationary,10,1
HEANA_5,MobileNet_V2,"[{'element_size': 42, 'element_count': 42, 'units_count': 190, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'HEANA_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 50, 'batch_size': 1}]",0.000692655,0.000257218,3887.748569,258.2728443,320947.9702,0.002934044,20228.72805,1.45E-07,78397847136,1045280,78398892416,Output-Stationary,50,1
HEANA_10,MobileNet_V2,"[{'element_size': 31, 'element_count': 31, 'units_count': 356, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'HEANA_10', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 100, 'batch_size': 1}]",0.000511702,0.000241005,4149.292025,355.4650659,618206.2316,0.001982334,20663.04573,9.59E-08,91693063498,1492314,91694555812,Output-Stationary,100,1
