,name,Model_Name,config,hardware_utilization,total_latency,fps,total_dynamic_energy,total_static_power,fps_per_w,area,fps_per_w_per_area
43,RMAM_v3,MobileNet_V2,"[{'element_size': 128, 'element_count': 128, 'units_count': 8, 'reconfig': [9], 'vdp_type': 'MAM', 'name': 'RMAM_v3'}]",39.97324915,0.000223665,4470.979896,17.17779681,8707.675303,0.0522865,264.9136863,0.000197372
44,RMAM_v3,NASNetMobile,"[{'element_size': 128, 'element_count': 128, 'units_count': 8, 'reconfig': [9], 'vdp_type': 'MAM', 'name': 'RMAM_v3'}]",49.81988311,0.000415078,2409.18336,33.28989552,8707.675303,0.02709714,264.9136863,0.000102287
45,RMAM_v3,ResNet50,"[{'element_size': 128, 'element_count': 128, 'units_count': 8, 'reconfig': [9], 'vdp_type': 'MAM', 'name': 'RMAM_v3'}]",78.01982155,0.005196811,192.4256827,204.2446689,8707.675303,0.004008067,264.9136863,1.51E-05
46,RMAM_v3,ShuffleNet_V2,"[{'element_size': 128, 'element_count': 128, 'units_count': 8, 'reconfig': [9], 'vdp_type': 'MAM', 'name': 'RMAM_v3'}]",70.75847405,0.000278396,3592.001942,26.35337839,8707.675303,0.034749294,264.9136863,0.000131172
47,RMAM_v3,Xception,"[{'element_size': 128, 'element_count': 128, 'units_count': 8, 'reconfig': [9], 'vdp_type': 'MAM', 'name': 'RMAM_v3'}]",79.55865909,0.006154481,162.4832427,449.2182244,8707.675303,0.001988825,264.9136863,7.51E-06
,RMAM_v3,Average,,63.5431105,0.009029871,1808.489054,469.4798494,8707.675303,0.020089622,264.9136863,7.58346E-05
47,CROSS_LIGHT,EfficientNet_B7,"[{'element_size': 10, 'element_count': 20, 'units_count': 33, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'CROSS_LIGHT'}, {'element_size': 15, 'element_count': 30, 'units_count': 13, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'CROSS_LIGHT'}]",99.13676403,8.362668393,0.119579057,6111.816363,3384.835641,2.91E-05,29.18397013,9.96E-07
47,CROSS_LIGHT,MobileNet_V2,"[{'element_size': 10, 'element_count': 20, 'units_count': 33, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'CROSS_LIGHT'}, {'element_size': 15, 'element_count': 30, 'units_count': 13, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'CROSS_LIGHT'}]",99.46138205,0.037398015,26.73938741,40.58175233,3384.835641,0.00598201,29.18397013,0.000204976
47,CROSS_LIGHT,NASNetMobile,"[{'element_size': 10, 'element_count': 20, 'units_count': 33, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'CROSS_LIGHT'}, {'element_size': 15, 'element_count': 30, 'units_count': 13, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'CROSS_LIGHT'}]",99.07376079,0.082089738,12.18179061,82.76170981,3384.835641,0.002772987,29.18397013,9.50E-05
47,CROSS_LIGHT,ResNet50,"[{'element_size': 10, 'element_count': 20, 'units_count': 33, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'CROSS_LIGHT'}, {'element_size': 15, 'element_count': 30, 'units_count': 13, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'CROSS_LIGHT'}]",99.07219248,0.45126519,2.215991887,390.8161948,3384.835641,0.000521302,29.18397013,1.79E-05
47,CROSS_LIGHT,ShuffleNet_V2,"[{'element_size': 10, 'element_count': 20, 'units_count': 33, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'CROSS_LIGHT'}, {'element_size': 15, 'element_count': 30, 'units_count': 13, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'CROSS_LIGHT'}]",98.92937705,0.114573572,8.72801628,117.9984876,3384.835641,0.001977022,29.18397013,6.77E-05
47,CROSS_LIGHT,Xception,"[{'element_size': 10, 'element_count': 20, 'units_count': 33, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'CROSS_LIGHT'}, {'element_size': 15, 'element_count': 30, 'units_count': 13, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'CROSS_LIGHT'}]",99.26679938,2.064322033,0.484420543,1466.817996,3384.835641,0.000118284,29.18397013,4.05E-06
,CROSS_LIGHT,Average,,99.15671263,1.852052823,8.411530964,1368.465417,3384.835641,0.00190011,29.18397013,6.5108E-05
